step	training loss
0	0.0016432467382401228
1	0.0016445856308564544
2	0.0016166857676580548
3	0.0015235779574140906
4	0.0013570477021858096
5	0.001144453533925116
6	0.0008957210229709744
7	0.0006521111936308444
8	0.0005103106959722936
9	0.0004617571539711207
10	0.00039843039121478796
11	0.00041429657721892
12	0.0004024277732241899
13	0.000577906088437885
14	0.00047813585842959583
15	0.0004936835030093789
16	0.0004555599298328161
17	0.0005961309070698917
18	0.0006218626513145864
19	0.0005515910452231765
20	0.0004929715069010854
21	0.0007484733359888196
22	0.0004871128185186535
23	0.0005992356454953551
24	0.0005278023891150951
25	0.0004957027267664671
26	0.0005027787992730737
27	0.00037750916089862585
28	0.00036811272730119526
29	0.00036660878686234355
30	0.00035659215063787997
31	0.00046346490853466094
32	0.0003828605986200273
33	0.0003889361396431923
34	0.00034285642323084176
35	0.00036179821472615004
36	0.00032131047919392586
37	0.0003725629940163344
38	0.00032415695022791624
39	0.00031624583061784506
40	0.0003618903865572065
41	0.0003633185406215489
42	0.0003150837146677077
43	0.0003351338964421302
44	0.00031955831218510866
45	0.00024132736143656075
46	0.00032890206784941256
47	0.0002927387540694326
48	0.0003164200752507895
49	0.00029799164622090757
50	0.0002773431478999555
51	0.00031483254861086607
52	0.00027156787109561265
53	0.00033470382913947105
54	0.0002924121217802167
55	0.0002833621110767126
56	0.00024016611860133708
57	0.0003192275180481374
58	0.00034355674870312214
59	0.0003045746707357466
60	0.0002658120938576758
61	0.0003031805681530386
62	0.00030035158852115273
63	0.00031596209737472236
64	0.0002430481108603999
65	0.00024600065080448985
66	0.00030137485009618104
67	0.00031067366944625974
68	0.0002833670296240598
69	0.00023560649424325675
70	0.00028136561741121113
71	0.0003305491409264505
72	0.0002973416121676564
73	0.0002911569317802787
74	0.00025714104413054883
75	0.0002663041523192078
76	0.0002802630770020187
77	0.0003312484477646649
78	0.00027880791458301246
79	0.0002689128159545362
80	0.00030287521076388657
81	0.0003001548466272652
82	0.00027224639779888093
83	0.0002641886821947992
84	0.0002516573294997215
85	0.0002619129663798958
86	0.0002474646898917854
87	0.000260164903011173
88	0.0002490426995791495
89	0.00028618815122172236
90	0.0002545872994232923
91	0.0003026750637218356
92	0.000250524579314515
93	0.00025469972752034664
94	0.0002607801870908588
95	0.0002559577696956694
96	0.00026111688930541277
97	0.0002734704758040607
98	0.0002777937042992562
99	0.0002551274374127388
100	0.0002405823761364445
101	0.00023833810701034963
102	0.0002920578990597278
103	0.00025472132256254554
104	0.00028973075677640736
105	0.0002618781290948391
106	0.00029552241903729737
107	0.00024933009990490973
108	0.00023362349020317197
109	0.0002709075342863798
110	0.00024106055207084864
111	0.00024132654652930796
112	0.00023700234305579215
113	0.0002682949707377702
114	0.00022379624715540558
115	0.0002383605024078861
116	0.0002475506626069546
117	0.00024262267106678337
118	0.00024509875220246613
119	0.0002532695361878723
120	0.00022399039880838245
121	0.00027467371546663344
122	0.0002267067029606551
123	0.00024354203196708113
124	0.0002235892607131973
125	0.0002623962063807994
126	0.00021398370154201984
127	0.0002364220708841458
128	0.00021515198750421405
129	0.0002168914652429521
130	0.0002277424791827798
131	0.0002221437607659027
132	0.00021255173487588763
133	0.0001989205920835957
134	0.00022119762434158474
135	0.00022289223852567375
136	0.00023707863874733448
137	0.0002153083769371733
138	0.0001943784300237894
139	0.00022075994638726115
140	0.00019395568233449012
141	0.0002200592716690153
142	0.00023513732594437897
143	0.0002048477326752618
144	0.00024816542281769216
145	0.00021287641720846295
146	0.00022254929353948683
147	0.00021315761841833591
148	0.00019914565200451761
149	0.00023872702149674296
150	0.0002499924157746136
151	0.000208799508982338
152	0.00022789240756537765
153	0.00020909358863718808
154	0.0002530230558477342
155	0.00020330258121248335
156	0.00019036809680983424
157	0.0002289389813086018
158	0.00021322371321730316
159	0.00023418590717483312
160	0.0001939049398060888
161	0.00020157672406639904
162	0.0001976156054297462
163	0.00023175831302069128
164	0.0002138538402505219
165	0.00021622593339998275
166	0.00020162803411949426
167	0.00020322544150985777
168	0.00018905654724221677
169	0.00019380990124773234
170	0.00019842362962663174
171	0.00018994386482518166
172	0.00026089517632499337
173	0.00020927131117787212
174	0.00021813732746522874
175	0.0002122760924976319
176	0.00021556326828431338
177	0.00020208288333378732
178	0.00022106179676484317
179	0.00021302512323018163
180	0.00021074087999295443
181	0.0001940809452207759
182	0.00020386445976328105
183	0.00022473011631518602
184	0.0002129924250766635
185	0.00019523725495673716
186	0.00023195795074570924
187	0.0002217974979430437
188	0.00019695019000209868
189	0.00020243466133251786
190	0.00016460251936223358
191	0.00023599399719387293
192	0.0001924255193443969
193	0.00022421969333663583
194	0.00019120775687042624
195	0.00022555071336682886
196	0.00018874611123465002
197	0.00019234740466345102
198	0.00019369940855540335
199	0.00019137396884616464
200	0.00017977625248022377
201	0.00022393382096197456
202	0.00020697928266599774
203	0.00023347081150859594
204	0.00018593728600535542
205	0.00020530246547423303
206	0.00019490810518618673
207	0.00022095981694292277
208	0.00019940536003559828
209	0.00020227943605277687
210	0.0001751332893036306
211	0.00018452093354426324
212	0.00024371867766603827
213	0.0002554496459197253
214	0.00020849880820605904
215	0.00021153583656996489
216	0.00021154186106286943
217	0.00021169336105231196
218	0.00020476907957345247
219	0.00021767898579128087
220	0.00020462564134504646
221	0.0001836157462093979
222	0.00019987940322607756
223	0.00020489562302827835
224	0.00018600859038997442
225	0.00022401937167160213
226	0.0001965054834727198
227	0.00020964856958016753
228	0.00019823394541162997
229	0.00021694463794119656
230	0.0001956358173629269
231	0.00020964391296729445
232	0.00019657840311992913
233	0.00021871158969588578
234	0.00022369215730577707
235	0.00021021893189754337
236	0.00020522241538856179
237	0.00020796673197764903
238	0.00022040700423531234
239	0.00020690209930762649
240	0.00015833716315682977
241	0.0002183497417718172
242	0.00018012932559940964
243	0.00016514063463546336
244	0.00022026263468433172
245	0.00020256356219761074
246	0.00021470492356456816
247	0.00018783510313369334
248	0.0001788748340914026
249	0.00021875230595469475
250	0.00017957374802790582
251	0.00016602726827841252
252	0.00018210141570307314
253	0.00020235191914252937
254	0.00020382263755891472
255	0.0001837451127357781
256	0.00018106456263922155
257	0.00018478816491551697
258	0.0002299468615092337
259	0.00019479621550999582
260	0.0002002676046686247
261	0.0002038128732237965
262	0.00021573783305939287
263	0.0001962150854524225
264	0.00019241550762671977
265	0.00019883147615473717
266	0.00016614382911939174
267	0.00017531897174194455
268	0.0001725192996673286
269	0.0001826548104872927
270	0.0001698602718533948
271	0.00017031966126523912
272	0.0001689042546786368
273	0.0001943642128026113
274	0.00021509171347133815
275	0.00017827529518399388
276	0.00016303463780786842
